#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU277	0	0	0	1	1	1	0	0
OTU280	0	0	1	0	0	0	0	0
OTU281	0	0	1	1	0	0	0	0
OTU282	0	0	1	0	0	0	0	0
OTU283	0	0	0	0	1	0	1	0
OTU284	0	0	0	1	0	0	0	0
OTU286	0	0	0	0	1	0	0	1
OTU287	0	0	1	1	0	0	0	0
OTU288	1	0	1	0	1	0	0	0
OTU290	0	0	0	0	0	1	0	0
OTU292	1	0	0	0	0	0	0	0
OTU293	0	0	1	0	0	0	0	0
OTU294	0	0	0	0	1	0	0	0
OTU295	0	0	1	0	0	1	0	1
OTU296	0	0	0	0	1	0	0	0
OTU297	0	0	0	0	0	1	1	1
OTU298	1	0	1	0	1	0	0	0
OTU299	0	0	0	0	1	1	0	1
OTU300	0	0	0	1	0	0	0	0
OTU301	0	0	0	1	0	0	0	1
OTU303	0	0	0	0	0	0	1	0
OTU304	1	0	1	0	1	1	1	0
OTU305	1	0	1	1	1	0	0	0
OTU307	0	0	1	0	0	0	0	0
OTU308	0	1	0	0	0	0	0	1
OTU310	0	0	1	0	1	0	0	0
OTU311	0	0	0	0	1	0	0	0
OTU312	1	0	0	0	1	0	1	0
OTU313	0	0	0	1	0	1	0	1
OTU314	0	0	0	0	1	1	0	1
OTU316	0	0	0	0	0	1	0	1
OTU317	1	0	0	0	1	0	1	0
OTU318	0	0	1	0	0	0	0	0
OTU319	0	0	0	0	1	0	0	0
OTU321	0	0	0	0	0	1	0	1
OTU322	1	0	1	0	1	1	1	1
OTU323	0	0	1	1	0	0	0	0
OTU324	1	0	0	0	0	0	0	0
OTU325	1	0	0	0	0	0	0	0
OTU326	1	0	0	0	1	0	0	0
OTU327	0	0	1	0	0	0	0	0
OTU328	0	1	0	0	1	0	0	0
OTU329	0	0	0	0	0	1	0	1
OTU330	0	0	1	0	0	0	0	0
OTU331	0	0	0	0	1	0	0	0
OTU332	0	0	0	0	1	0	0	0
OTU333	0	0	0	1	0	0	0	0
OTU334	1	0	0	1	0	0	0	0
OTU335	0	0	0	0	1	0	0	0
OTU336	0	0	0	1	0	0	0	0
OTU337	0	0	0	0	1	0	0	0
OTU338	0	0	1	1	0	0	0	0
OTU339	0	0	0	1	1	0	0	0
OTU340	0	0	0	0	0	0	0	1
OTU342	0	0	0	0	1	0	0	0
OTU343	0	0	0	0	0	0	0	1
OTU344	0	0	1	0	1	0	0	0
OTU345	0	0	0	0	0	0	0	1
OTU346	0	0	1	1	0	0	0	0
OTU347	0	0	0	0	1	0	0	0
OTU348	1	0	0	0	0	0	0	0
OTU349	0	0	0	0	1	0	0	0
OTU350	1	0	0	0	0	0	0	0
OTU352	0	0	1	0	0	0	0	0
OTU353	1	0	1	0	0	0	1	0
OTU355	0	0	1	0	0	0	1	1
OTU356	0	0	0	0	0	0	1	0
OTU357	1	0	0	0	0	1	0	0
OTU358	1	0	0	0	1	0	1	0
OTU359	0	0	0	0	1	0	0	0
OTU360	0	0	1	1	0	0	0	0
OTU362	1	0	0	0	1	0	0	0
OTU363	0	0	1	0	0	0	0	0
OTU364	1	0	1	0	1	0	0	0
OTU365	0	0	0	0	0	1	0	1
OTU366	1	0	1	0	1	0	0	0
OTU367	0	0	0	0	0	1	0	0
OTU368	0	0	1	1	0	0	0	1
OTU369	0	0	1	0	0	0	0	0
OTU370	0	0	1	1	1	1	0	0
OTU371	0	0	1	0	1	0	0	0
OTU373	0	0	0	0	1	0	0	0
OTU374	0	0	0	1	0	0	0	1
OTU375	0	0	0	0	0	1	0	0
OTU376	0	0	0	0	1	1	0	0
OTU377	1	0	0	0	0	1	0	0
OTU379	0	0	1	0	1	0	0	0
OTU380	0	0	0	0	0	0	1	0
OTU381	1	0	1	1	1	0	1	0
OTU382	0	0	0	0	1	0	0	0
OTU383	0	0	1	0	0	0	0	0
OTU384	0	0	0	1	0	0	0	0
OTU385	0	0	0	1	0	0	0	0
OTU386	0	0	1	0	0	0	0	0
OTU387	0	0	1	1	0	0	0	0
OTU388	0	0	0	1	0	0	0	0
OTU390	1	0	0	0	0	0	0	0
OTU391	1	0	0	0	0	0	0	0
OTU392	0	0	0	1	0	0	0	0
OTU394	0	0	1	1	0	0	0	0
