#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU230	9	0	0	24	0	0	0	0
OTU231	0	0	0	0	0	32	0	35
OTU232	0	0	11	24	0	0	0	0
OTU233	0	0	0	0	20	0	0	0
OTU234	0	0	6	0	10	16	0	0
OTU235	18	0	0	0	81	0	0	0
OTU236	0	0	50	0	7	0	0	0
OTU238	0	0	0	33	0	0	0	0
OTU240	0	0	34	0	0	0	0	0
OTU241	35	0	0	0	17	0	0	0
OTU242	0	0	6	19	0	0	0	0
OTU243	0	0	6	0	27	0	0	0
OTU244	0	0	0	0	67	0	0	0
OTU245	0	0	0	0	0	0	63	106
OTU246	0	0	0	5	34	0	0	18
OTU247	0	0	0	19	0	0	0	18
OTU248	0	0	11	0	17	0	0	0
OTU249	0	0	0	38	0	0	0	0
OTU250	9	0	6	0	17	8	0	0
OTU251	0	0	28	5	0	8	63	70
OTU252	0	0	28	0	0	0	0	0
OTU253	0	0	6	19	0	0	0	0
OTU254	0	0	0	24	0	0	0	0
OTU255	0	0	6	0	10	0	63	0
OTU256	0	0	0	38	0	0	0	0
OTU257	0	0	34	9	0	0	0	0
OTU258	0	0	0	9	0	114	0	88
OTU259	0	0	0	0	7	57	0	0
OTU260	0	0	0	33	0	0	0	0
OTU261	18	0	17	9	7	8	0	0
OTU263	0	0	0	0	17	0	0	0
OTU264	0	0	28	0	0	0	0	0
OTU265	0	0	0	19	0	0	0	0
OTU266	159	0	196	0	44	0	0	0
OTU267	88	0	45	5	10	0	0	0
OTU269	0	0	0	19	0	0	0	0
OTU270	0	0	28	9	0	0	0	0
OTU271	0	0	28	9	0	0	0	0
OTU273	0	0	17	5	0	0	0	0
OTU274	0	0	39	0	0	0	0	0
OTU275	0	0	0	0	27	0	0	0
OTU276	0	0	0	0	13	0	0	0
OTU277	0	0	0	24	3	8	0	0
OTU280	0	0	22	0	0	0	0	0
OTU281	0	0	17	5	0	0	0	0
OTU282	0	0	22	0	0	0	0	0
OTU283	0	0	0	0	13	0	63	0
OTU284	0	0	0	24	0	0	0	0
OTU286	0	0	0	0	13	0	0	18
OTU287	0	0	6	14	0	0	0	0
OTU288	9	0	6	0	30	0	0	0
OTU290	0	0	0	0	0	32	0	0
OTU292	35	0	0	0	0	0	0	0
OTU293	0	0	22	0	0	0	0	0
OTU294	0	0	0	0	13	0	0	0
OTU295	0	0	11	0	0	8	0	18
OTU296	0	0	0	0	13	0	0	0
OTU297	0	0	0	0	0	57	63	18
OTU298	9	0	11	0	7	0	0	0
OTU299	0	0	0	0	10	8	0	18
OTU300	0	0	0	14	0	0	0	0
OTU301	0	0	0	28	0	0	0	18
OTU303	0	0	0	0	0	0	189	0
OTU304	71	0	6	0	44	8	63	0
OTU305	26	0	129	5	24	0	0	0
OTU307	0	0	22	0	0	0	0	0
OTU308	0	1299	0	0	0	0	0	35
OTU310	0	0	6	0	17	0	0	0
OTU311	0	0	0	0	20	0	0	0
OTU312	18	0	0	0	20	0	63	0
OTU313	0	0	0	24	0	8	0	35
OTU314	0	0	0	0	3	16	0	35
OTU316	0	0	0	0	0	8	0	88
OTU317	53	0	0	0	111	0	63	0
OTU318	0	0	17	0	0	0	0	0
OTU319	0	0	0	0	13	0	0	0
OTU321	0	0	0	0	0	24	0	18
OTU322	106	0	958	0	1857	16	503	18
OTU323	0	0	6	9	0	0	0	0
OTU324	26	0	0	0	0	0	0	0
OTU325	26	0	0	0	0	0	0	0
OTU326	9	0	0	0	10	0	0	0
OTU327	0	0	17	0	0	0	0	0
OTU328	0	1299	0	0	7	0	0	0
OTU329	0	0	0	0	0	8	0	35
OTU330	0	0	17	0	0	0	0	0
OTU331	0	0	0	0	10	0	0	0
OTU332	0	0	0	0	10	0	0	0
OTU333	0	0	0	14	0	0	0	0
OTU334	18	0	0	19	0	0	0	0
OTU335	0	0	0	0	10	0	0	0
OTU336	0	0	0	14	0	0	0	0
OTU337	0	0	0	0	7	0	0	0
OTU338	0	0	11	5	0	0	0	0
OTU339	0	0	0	9	7	0	0	0
OTU340	0	0	0	0	0	0	0	70
OTU342	0	0	0	0	7	0	0	0
OTU343	0	0	0	0	0	0	0	35
OTU344	0	0	34	0	3	0	0	0
OTU345	0	0	0	0	0	0	0	35
OTU346	0	0	6	9	0	0	0	0
OTU347	0	0	0	0	13	0	0	0
OTU348	18	0	0	0	0	0	0	0
OTU349	0	0	0	0	7	0	0	0
OTU350	18	0	0	0	0	0	0	0
OTU352	0	0	17	0	0	0	0	0
OTU353	9	0	17	0	0	0	126	0
OTU355	0	0	22	0	0	0	63	18
OTU356	0	0	0	0	0	0	189	0
OTU357	9	0	0	0	0	8	0	0
OTU358	44	0	0	0	13	0	63	0
OTU359	0	0	0	0	7	0	0	0
OTU360	0	0	6	5	0	0	0	0
OTU362	9	0	0	0	3	0	0	0
OTU363	0	0	11	0	0	0	0	0
OTU364	26	0	6	0	13	0	0	0
OTU365	0	0	0	0	0	8	0	35
OTU366	26	0	6	0	3	0	0	0
OTU367	0	0	0	0	0	16	0	0
OTU368	0	0	6	5	0	0	0	18
OTU369	0	0	17	0	0	0	0	0
OTU370	0	0	11	5	7	8	0	0
OTU371	0	0	17	0	13	0	0	0
OTU373	0	0	0	0	24	0	0	0
OTU374	0	0	0	28	0	0	0	18
OTU375	0	0	0	0	0	16	0	0
OTU376	0	0	0	0	10	16	0	0
OTU377	18	0	0	0	0	24	0	0
OTU379	0	0	6	0	3	0	0	0
OTU380	0	0	0	0	0	0	126	0
OTU381	53	0	6	5	17	0	189	0
OTU382	0	0	0	0	7	0	0	0
OTU383	0	0	11	0	0	0	0	0
OTU384	0	0	0	9	0	0	0	0
OTU385	0	0	0	9	0	0	0	0
OTU386	0	0	17	0	0	0	0	0
OTU387	0	0	6	5	0	0	0	0
OTU388	0	0	0	236	0	0	0	0
OTU390	18	0	0	0	0	0	0	0
OTU391	18	0	0	0	0	0	0	0
OTU392	0	0	0	19	0	0	0	0
OTU394	0	0	6	5	0	0	0	0
OTU395	0	0	0	0	10	0	0	0
OTU397	0	0	0	5	3	8	0	0
OTU399	0	0	11	0	0	0	0	0
OTU400	0	0	6	5	0	0	0	0
OTU401	9	0	0	0	0	16	0	0
OTU402	0	0	0	9	0	0	0	0
OTU403	0	0	0	0	13	16	0	0
OTU405	0	0	0	5	3	0	0	0
OTU406	18	0	6	9	40	0	0	0
OTU407	0	0	0	0	10	8	0	0
OTU409	0	0	0	0	7	0	0	0
OTU410	0	0	0	0	7	0	0	0
OTU411	9	0	0	0	3	0	0	0
OTU415	0	0	17	5	0	0	0	0
OTU416	0	0	0	0	10	0	0	0
OTU417	0	0	0	0	0	0	0	35
OTU418	0	0	11	0	0	0	0	0
OTU419	0	0	0	0	13	0	0	0
OTU421	0	0	11	0	0	0	0	0
OTU422	0	0	0	0	7	0	0	0
OTU423	0	0	0	9	0	8	0	0
OTU424	0	0	0	0	0	0	0	70
OTU425	0	0	28	0	0	0	0	0
OTU426	9	0	0	0	0	0	63	0
OTU428	0	0	11	5	0	0	0	0
OTU430	0	0	0	0	0	0	0	35
