#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU373	0	0	0	0	7	0	0	0
OTU374	0	0	0	6	0	0	0	1
OTU375	0	0	0	0	0	2	0	0
OTU376	0	0	0	0	3	2	0	0
OTU377	2	0	0	0	0	3	0	0
OTU379	0	0	1	0	1	0	0	0
OTU38	3	0	20	0	194	0	3	1
OTU380	0	0	0	0	0	0	2	0
OTU381	6	0	1	1	5	0	3	0
OTU382	0	0	0	0	2	0	0	0
OTU383	0	0	2	0	0	0	0	0
OTU384	0	0	0	2	0	0	0	0
OTU385	0	0	0	2	0	0	0	0
OTU386	0	0	3	0	0	0	0	0
OTU387	0	0	1	1	0	0	0	0
OTU388	0	0	0	50	0	0	0	0
OTU39	1	1	2	82	9	216	1	3
OTU390	2	0	0	0	0	0	0	0
OTU391	2	0	0	0	0	0	0	0
OTU392	0	0	0	4	0	0	0	0
OTU394	0	0	1	1	0	0	0	0
OTU395	0	0	0	0	3	0	0	0
OTU397	0	0	0	1	1	1	0	0
OTU399	0	0	2	0	0	0	0	0
OTU4	2	1	6	7075	0	335	0	313
OTU40	74	0	147	4	185	0	40	3
OTU400	0	0	1	1	0	0	0	0
OTU401	1	0	0	0	0	2	0	0
OTU402	0	0	0	2	0	0	0	0
OTU403	0	0	0	0	4	2	0	0
OTU405	0	0	0	1	1	0	0	0
OTU406	2	0	1	2	12	0	0	0
OTU407	0	0	0	0	3	1	0	0
OTU409	0	0	0	0	2	0	0	0
OTU41	185	0	0	0	0	0	0	0
OTU410	0	0	0	0	2	0	0	0
OTU411	1	0	0	0	1	0	0	0
OTU415	0	0	3	1	0	0	0	0
OTU416	0	0	0	0	3	0	0	0
OTU417	0	0	0	0	0	0	0	2
OTU418	0	0	2	0	0	0	0	0
OTU419	0	0	0	0	4	0	0	0
OTU42	0	0	0	0	5	0	162	6
OTU421	0	0	2	0	0	0	0	0
OTU422	0	0	0	0	2	0	0	0
OTU423	0	0	0	2	0	1	0	0
OTU424	0	0	0	0	0	0	0	4
OTU425	0	0	5	0	0	0	0	0
OTU426	1	0	0	0	0	0	1	0
OTU428	0	0	2	1	0	0	0	0
OTU43	0	0	173	3	0	0	0	0
OTU430	0	0	0	0	0	0	0	2
OTU44	0	1	0	181	0	1	0	12
OTU45	0	0	147	28	0	0	0	3
OTU46	8	0	0	0	155	3	0	0
OTU47	0	1	283	0	0	0	2	0
OTU48	0	0	0	1	42	212	0	0
OTU49	0	0	151	1	3	0	0	1
OTU5	1957	0	0	0	961	0	52	0
OTU50	0	0	136	2	12	0	6	6
OTU51	23	0	44	0	68	0	1	0
OTU52	3	0	24	3	134	0	0	0
OTU53	0	0	0	2	0	143	0	73
OTU54	113	0	0	0	0	0	0	5
OTU55	0	0	0	0	110	0	0	0
OTU56	0	0	84	29	0	0	7	0
OTU57	2	0	53	1	52	0	0	0
OTU58	102	0	33	0	7	0	0	0
OTU59	0	0	41	0	98	0	0	0
OTU6	18	0	787	0	2787	0	0	0
OTU60	1	3	0	41	13	17	0	24
OTU61	0	0	0	103	1	0	0	0
OTU62	0	1	138	67	3	0	0	21
OTU63	73	0	0	0	19	0	3	0
OTU64	0	4	0	11	11	145	0	32
OTU65	9	0	0	0	74	0	0	1
OTU66	0	0	40	34	5	8	0	2
OTU67	0	0	108	1	1	0	1	0
OTU68	3	0	1	0	3	0	81	43
OTU69	0	0	61	10	28	0	12	1
OTU7	0	0	2472	3	0	0	0	0
OTU70	4	0	27	10	36	2	0	8
OTU71	18	0	1	9	59	6	0	0
OTU72	0	0	62	2	0	1	3	0
OTU73	18	0	0	0	46	1	0	0
OTU74	3	0	86	0	49	0	9	0
OTU75	0	0	4	69	0	5	0	0
OTU76	0	0	0	89	0	0	0	3
OTU77	0	0	0	0	3	0	1	105
OTU78	4	0	0	0	101	4	0	0
OTU79	0	0	60	1	0	0	0	0
OTU8	699	0	1065	2	3327	4	271	0
OTU80	0	0	56	0	7	3	0	2
OTU81	56	0	2	0	0	0	6	0
OTU82	0	0	0	71	0	2	0	2
OTU83	0	0	13	10	0	7	0	29
OTU84	0	0	20	36	0	0	0	0
OTU85	0	0	0	0	45	0	0	0
OTU86	0	0	12	37	2	1	0	1
OTU87	0	0	39	3	0	0	0	0
OTU88	0	1	0	18	2	13	0	4
OTU89	0	0	0	0	0	0	0	41
OTU9	44	0	1	0	1448	0	5	0
OTU90	0	0	43	0	0	0	0	0
OTU91	7	0	44	29	19	11	2	4
OTU92	1	0	18	21	7	0	0	2
OTU93	22	0	2	0	50	0	1	0
OTU94	4	0	0	0	52	0	0	0
OTU95	0	0	31	7	0	0	0	2
OTU96	0	0	0	2	0	56	0	37
OTU97	8	1	0	0	39	1	0	0
OTU98	32	0	0	0	0	0	9	0
OTU99	0	0	4	0	49	0	0	0
