#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil	Taxonomy
OTU161	1	0	0	0	12	0	0	0	GS|100.0|UDB0338117|SH2727297.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU162	7	0	5	0	0	0	0	0	SS|1.0000|UDB0193147|SH2727618.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU163	0	0	11	14	0	0	0	1	SS|1.0000|UDB067457|SH2723126.08FU;k:Fungi,p:Ascomycota,c:Xylonomycetes
OTU164	3	0	0	2	10	0	0	1	SS|1.0000|UDB093326|SH3327719.08FU;k:Fungi
OTU165	0	0	11	2	0	0	0	0	SS|0.8600|JQ410140|SH1557165.08FU;k:Fungi,p:Ascomycota
OTU166	0	0	0	0	16	0	0	0	GS|100.0|UDB0328155|SH1510687.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Leotiaceae
OTU167	0	1	5	9	10	0	0	0	GS|100.0|MN984331|SH3565072.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Melanogastraceae,g:Melanogaster
OTU168	9	0	4	0	45	0	1	0	GS|100.0|UDB0352497|SH1547475.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora
OTU169	0	0	0	0	13	0	0	0	GS|99.6|UDB0373806|SH1545983.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Leotiaceae,g:Alatospora
OTU17	512	0	1	0	379	1	1	1	GS|97.3|UDB0395689|SH2739496.08FU;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales
OTU170	14	0	0	0	0	3	0	0	SS|1.0000|UDB0458879|SH1545126.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Ramariopsis
OTU171	0	0	13	2	0	0	0	0	GS|99.3|MK131611|SH1544243.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae
OTU172	0	0	0	0	0	10	0	0	GS|75.8|KP257112|SH1512627.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria,s:Clavaria falcata
OTU173	0	0	15	0	0	0	0	0	GS|99.7|HQ445586|SH1523753.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Hyaloscypha,s:Hyaloscypha bicolor
OTU174	0	0	1	11	0	0	0	0	GS|100.0|UDB0396593|SH2727949.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU175	0	0	16	1	0	0	11	0	SS|1.0000|UDB0599300|SH2726907.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales
OTU176	0	0	0	0	0	10	0	0	SS|0.8200|KY777399|SH1238898.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Leucoagaricus,s:Leucoagaricus rubrotinctus
OTU178	3	0	0	0	7	0	0	0	GS|100.0|UDB097847|SH2725838.08FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales
OTU179	0	0	0	0	11	0	0	0	GSL|100.0|MK842005|SH1522939.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU18	178	8	212	122	303	32	18	89	GSL|100.0|MN091958|SH1546325.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Ilyonectria,s:Ilyonectria mors-panacis
OTU180	0	0	10	0	0	0	0	0	GS|100.0|UDB0202630|SH1542836.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes
OTU181	4	0	0	2	10	0	0	0	GS|98.0|MT765495|SH1174357.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae,g:Dominikia
OTU182	0	0	11	0	0	0	0	0	GS|100.0|FN565271|SH1522946.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Hyaloscypha
OTU183	0	0	0	0	0	0	10	0	SS|1.0000|UDB0605684|SH2728891.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae
OTU184	0	0	0	20	0	0	0	2	GS|100.0|MT502790|SH1650088.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,f:Cystofilobasidiaceae,g:Cystofilobasidium,s:Cystofilobasidium capitatum
OTU185	0	0	0	17	0	0	0	0	GS|97.9|UDB0344223|SH1538879.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Russula
OTU186	0	0	0	0	11	0	0	0	GS|99.5|UDB0226422|SH3597704.08FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales
OTU187	10	0	0	0	5	0	0	0	GS|83.9|HE775288|SH1552429.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU188	0	0	0	0	10	0	0	0	SS|1.0000|MW209046|SH3595883.08FU;k:Fungi,p:Ascomycota
OTU189	0	0	0	0	0	0	24	0	SS|1.0000|UDB0315394|SH1519585.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,g:Sistotrema
